qid,label,discovery_cohorts,idref,gnd,bnf,viaf,lc,control,inherited_atlas_person_ids
Q113536084,Peter Thorsheim,environmental_history,113457464,1077584393,,1882532,n2005076338,False,
Q113565058,Beatrice Pisa,gender_history,169978443,1059314606,,38367507,n85284353,False,
Q113579380,Thomas Alter,labour_history,,,,304035837,no2021104424,False,
Q113642672,Ryan Tucker Jones,environmental_history,182050343,1054738165,169697106,307431576,n2014016414,False,
Q113673908,Tomasz Pudłocki,gender_adjacent,174692420,1071079263,170013633,245759213,no2008139699,False,
Q113680066,Kristin Kobes Du Mez,gender_adjacent,,1216048703,,316556667,no2015074829,False,
Q113717968,Liazzat J. K. Bonate,gender_adjacent,,1141795248,,282555560,,False,
Q11373589,Fumiko Ide,gender_history,256518181,179730592,16914881r,108455990,n85069836,False,
Q113737515,Heather Anne Swanson,environmental_history,235662593,1169438946,,9152023618803310161,,False,
Q113739172,Tamara Loos,gender_adjacent,099066602,1184315922,15065176t,12229177,nr99034189,False,
Q113770298,Nicholas B. Breyfogle,environmental_history,088897451,131493922,,69210638,,False,
Q113778296,Monica Bolufer Peruga,gender_adjacent,086115715,137832451,14490425q,49451841,n99033239,False,
Q113779907,Timothy J. LeCain,environmental_history,168512726,140077332,16709460b,103385440,n2008054798,False,
Q113783515,ChaeRan Freeze,gender_adjacent,07652793X,173819338,,229690,,False,
Q113783886,Ersilia Francesca,gender_adjacent,083722874,180536168,144831780,237840,n96046208,False,
Q113785644,Melissa Klapper,gender_history,125338309,133737500,15645753f,50424467,n2004055996,False,
Q113801775,Kathryn Lofton,gender_adjacent,15862985X,1030014132,,107936967,n2010014041,False,
Q113810472,Elisa Giunchi,gender_adjacent,073949086,1045765198,,49391568,n00096074,False,
Q113814448,Ellen Fenzel Arnold,environmental_history,168373254,1053457758,,251069515,,False,
Q113847142,Debra Majeed,gender_adjacent,,1141242648,,313502090,no2015012452,False,
Q113885760,Maya K. Peterson,environmental_history,241703166,,18123841c,14154257822124150249,n2018065899,False,
Q114134656,Joan B. Landes,gender_adjacent,058921206,188484051,12731930x,110144938,n87930114,False,
Q11462201,Rui Kohiyama,gender_adjacent,,1055736875,,41709591,nr93004702,False,
Q11469348,Fujie Yamamoto,gender_history,248208209,172468469,,108188023,n81079925,False,
Q114763450,Jack Ross,labour_history,159222869,,,308260354; 316550699,n2015041781,False,
Q114769152,Benny J. Andrés Jr,environmental_history,,,,315182985,no2015031987,False,
Q114834716,Isabel María Povea Moreno,gender_history,184283175,,16994353s,260713477,no2012110583,False,
Q114863504,Marc Élie,environmental_history,125456352,1056818549,17149133j,66787801,,False,
Q115047542,James John Beattie,environmental_history,,,,,,False,
